2023-05-03 14:58:49,609 INFO    Thread-22 :2184 [dir_watcher.py:_on_file_modified():295] file/dir modified: f:\Glaucoma\wandb\run-20230503_145831-0x001\files\conda-environment.yaml
2023-05-03 14:58:49,615 DEBUG   HandlerThread:2184 [system_info.py:_save_conda():86] Saving conda packages done
2023-05-03 14:58:49,616 INFO    HandlerThread:2184 [system_monitor.py:probe():216] Finished publishing system info
2023-05-03 14:58:49,632 DEBUG   HandlerThread:2184 [handler.py:handle_request():144] handle_request: status_report
2023-05-03 14:58:49,632 DEBUG   HandlerThread:2184 [handler.py:handle_request():144] handle_request: keepalive
2023-05-03 14:58:49,633 DEBUG   HandlerThread:2184 [handler.py:handle_request():144] handle_request: status_report
2023-05-03 14:58:49,633 DEBUG   HandlerThread:2184 [handler.py:handle_request():144] handle_request: keepalive
2023-05-03 14:58:49,633 DEBUG   HandlerThread:2184 [handler.py:handle_request():144] handle_request: status_report
2023-05-03 14:58:49,633 DEBUG   HandlerThread:2184 [handler.py:handle_request():144] handle_request: keepalive
2023-05-03 14:58:49,634 DEBUG   SenderThread:2184 [sender.py:send():375] send: files
2023-05-03 14:58:49,634 INFO    SenderThread:2184 [sender.py:_save_file():1378] saving file wandb-metadata.json with policy now
2023-05-03 14:58:49,650 DEBUG   HandlerThread:2184 [handler.py:handle_request():144] handle_request: stop_status
2023-05-03 14:58:49,651 DEBUG   SenderThread:2184 [sender.py:send_request():402] send_request: stop_status
2023-05-03 14:58:50,044 DEBUG   SenderThread:2184 [sender.py:send():375] send: telemetry
2023-05-03 14:58:50,625 INFO    Thread-22 :2184 [dir_watcher.py:_on_file_created():278] file/dir created: f:\Glaucoma\wandb\run-20230503_145831-0x001\files\wandb-metadata.json
2023-05-03 14:58:50,737 INFO    wandb-upload_0:2184 [upload_job.py:push():137] Uploaded file C:\Users\Anton\AppData\Local\Temp\tmpirj32xs9wandb\gj4ihime-wandb-metadata.json
2023-05-03 14:58:52,052 DEBUG   HandlerThread:2184 [handler.py:handle_request():144] handle_request: status_report
2023-05-03 14:58:54,211 DEBUG   HandlerThread:2184 [handler.py:handle_request():144] handle_request: status_report
2023-05-03 14:58:57,090 DEBUG   HandlerThread:2184 [handler.py:handle_request():144] handle_request: status_report
2023-05-03 14:58:59,251 DEBUG   HandlerThread:2184 [handler.py:handle_request():144] handle_request: status_report
2023-05-03 14:59:02,135 DEBUG   HandlerThread:2184 [handler.py:handle_request():144] handle_request: status_report
2023-05-03 14:59:02,743 INFO    Thread-22 :2184 [dir_watcher.py:_on_file_modified():295] file/dir modified: f:\Glaucoma\wandb\run-20230503_145831-0x001\files\config.yaml
2023-05-03 14:59:04,286 DEBUG   HandlerThread:2184 [handler.py:handle_request():144] handle_request: status_report
2023-05-03 14:59:04,646 DEBUG   HandlerThread:2184 [handler.py:handle_request():144] handle_request: stop_status
2023-05-03 14:59:04,646 DEBUG   SenderThread:2184 [sender.py:send_request():402] send_request: stop_status
2023-05-03 14:59:08,013 DEBUG   HandlerThread:2184 [handler.py:handle_request():144] handle_request: status_report
2023-05-03 14:59:09,333 DEBUG   HandlerThread:2184 [handler.py:handle_request():144] handle_request: status_report
2023-05-03 14:59:13,055 DEBUG   HandlerThread:2184 [handler.py:handle_request():144] handle_request: status_report
2023-05-03 14:59:14,394 DEBUG   HandlerThread:2184 [handler.py:handle_request():144] handle_request: status_report
2023-05-03 14:59:18,113 DEBUG   HandlerThread:2184 [handler.py:handle_request():144] handle_request: status_report
2023-05-03 14:59:19,451 DEBUG   HandlerThread:2184 [handler.py:handle_request():144] handle_request: status_report
2023-05-03 14:59:19,653 DEBUG   HandlerThread:2184 [handler.py:handle_request():144] handle_request: stop_status
2023-05-03 14:59:19,653 DEBUG   SenderThread:2184 [sender.py:send_request():402] send_request: stop_status
2023-05-03 14:59:24,005 DEBUG   HandlerThread:2184 [handler.py:handle_request():144] handle_request: status_report
2023-05-03 14:59:24,503 DEBUG   HandlerThread:2184 [handler.py:handle_request():144] handle_request: status_report
2023-05-03 14:59:29,037 DEBUG   HandlerThread:2184 [handler.py:handle_request():144] handle_request: status_report
2023-05-03 14:59:29,549 DEBUG   HandlerThread:2184 [handler.py:handle_request():144] handle_request: status_report
